VersionId,TabTitle,TemplateKey,Server,Database,ConnectionName,SemanticEntity,Schema,PhysicalObject,ObjectKind,Top,PowerQueryModelShaping
205,Bankruptcies Report,csr_bankruptcies-report,app100.camhydro.com,corporate_dashboards,csr_pbip_source,ns_collection_submission_accounts_bankrupt,dbo,ns_collection_submission_accounts_bankrupt,function,50000,Invoke parameterless TVF dbo.ns_collection_submission_accounts_bankrupt().
206,Multi-Unit Conditions Map,csr_multi-unit-conditions-map,app100.camhydro.com,corporate_dashboards,csr_pbip_source,multi_user_conditions_of_service_geo,dbo,multi_user_conditions_of_service,auto,50000,Semantic entity reads physical dbo.multi_user_conditions_of_service.
207,Request Service Layout Map,csr_request-service-layout-map,app100.camhydro.com,corporate_dashboards,csr_pbip_source,request_service_layout_form_geo,dbo,request_service_layout_form_geo,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
208,Aging ML Predictor - Hourly Updates,csr_aging-ml-predictor-hourly-updates,app100.camhydro.com,corporate_dashboards,csr_pbip_source,aging_ml_predictions,dbo,aging_ml_predictions,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
208,Aging ML Predictor - Hourly Updates,csr_aging-ml-predictor-hourly-updates,app100.camhydro.com,corporate_dashboards,csr_pbip_source,ml_metrics,dbo,ml_metrics,auto,50000,Calculate metrics text from R2 and RunDateTime.
209,Risky Commercial Predictor,csr_risky-commercial-predictor,app100.camhydro.com,corporate_dashboards,csr_pbip_source,model_metrics,dbo,model_metrics,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
209,Risky Commercial Predictor,csr_risky-commercial-predictor,app100.camhydro.com,corporate_dashboards,csr_pbip_source,risky_comm_predictor_details,dbo,risky_comm_predictor_details,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
210,Risky Residential Predictor,csr_risky-residential-predictor,app100.camhydro.com,corporate_dashboards,csr_pbip_source,model_metrics_resid,dbo,model_metrics_resid,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
210,Risky Residential Predictor,csr_risky-residential-predictor,app100.camhydro.com,corporate_dashboards,csr_pbip_source,risky_resid_predictor_details,dbo,risky_resid_predictor_details,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
211,Monthly EBNotes,csr_monthly-ebnotes,app100.camhydro.com,corporate_dashboards,csr_pbip_source,ns_daily_ebnotes,dbo,ns_daily_ebnotes,function,75000,Invoke parameterless TVF; add month-year and Bill Month Key; construct e-bill account-month grain.
211,Monthly EBNotes,csr_monthly-ebnotes,app100.camhydro.com,corporate_dashboards,csr_pbip_source,ns_total_bills_monthly,dbo,ns_total_bills_monthly,function,50000,Invoke parameterless TVF; add year-month and Bill Month Key.
212,Aging Compared By Periods,csr_aging-compared-by-periods,app100.camhydro.com,corporate_dashboards,csr_pbip_source,AgingCompareSummary_view,dbo,AgingCompareSummary_view,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
